,name,ratio,k_size,max_dist,fidelity,n_segs,img_num
387,quickshift,0.01,8,1000,0.7070677211485109,11,48
388,quickshift,0.2,3,100,0.19575235121191292,76,48
389,quickshift,0.2,3,1000,0.2085421066270673,76,48
390,quickshift,0.2,8,100,0.6382536114038466,11,48
391,quickshift,0.2,8,1000,0.6469939016852597,11,48
392,quickshift,0.01,3,100,0.16117919310533357,57,49
393,quickshift,0.01,3,1000,0.15376560187826338,57,49
394,quickshift,0.01,8,100,0.6473475092226113,9,49
395,quickshift,0.01,8,1000,0.6561034392972859,9,49
396,quickshift,0.2,3,100,0.19550212744895212,62,49
397,quickshift,0.2,3,1000,0.1898776901363708,62,49
398,quickshift,0.2,8,100,0.6043018655342439,9,49
399,quickshift,0.2,8,1000,0.6006815451792106,9,49
400,quickshift,0.01,3,100,0.13129180350086211,49,50
401,quickshift,0.01,3,1000,0.10387349829842907,49,50
402,quickshift,0.01,8,100,0.19789335992765134,9,50
403,quickshift,0.01,8,1000,0.22065299079451828,9,50
404,quickshift,0.2,3,100,0.14991588885316198,52,50
405,quickshift,0.2,3,1000,0.11303439997916509,52,50
406,quickshift,0.2,8,100,0.16550739574305473,9,50
407,quickshift,0.2,8,1000,0.15590965809242208,9,50
408,quickshift,0.01,3,100,0.1455712923564585,79,51
409,quickshift,0.01,3,1000,0.14614732052530788,79,51
410,quickshift,0.01,8,100,0.06078983129793703,11,51
411,quickshift,0.01,8,1000,0.08374288212783965,11,51
412,quickshift,0.2,3,100,0.1552530375384159,82,51
413,quickshift,0.2,3,1000,0.1562013833252618,82,51
414,quickshift,0.2,8,100,0.12267759693227952,11,51
415,quickshift,0.2,8,1000,0.12417516912967863,11,51
416,quickshift,0.01,3,100,0.2001574370239536,57,52
417,quickshift,0.01,3,1000,0.19434219368888828,57,52
418,quickshift,0.01,8,100,0.5126321495432398,8,52
419,quickshift,0.01,8,1000,0.5355338156247217,8,52
420,quickshift,0.2,3,100,0.3587160648609684,60,52
421,quickshift,0.2,3,1000,0.3339720396840701,60,52
422,quickshift,0.2,8,100,0.5759764345555801,10,52
423,quickshift,0.2,8,1000,0.564869762053575,10,52
424,quickshift,0.01,3,100,0.11626849804743512,63,53
425,quickshift,0.01,3,1000,0.14725770676238858,63,53
426,quickshift,0.01,8,100,0.5478459503955084,6,53
427,quickshift,0.01,8,1000,0.5343234591567886,6,53
428,quickshift,0.2,3,100,0.13076940002802317,60,53
429,quickshift,0.2,3,1000,0.11528610424626927,60,53
430,quickshift,0.2,8,100,0.46479377148708784,6,53
431,quickshift,0.2,8,1000,0.4550177174403165,6,53
432,quickshift,0.01,3,100,0.1856213361198665,57,54
433,quickshift,0.01,3,1000,0.19792953805559887,57,54
434,quickshift,0.01,8,100,0.31328050016583275,10,54
435,quickshift,0.01,8,1000,0.32003801460843473,10,54
436,quickshift,0.2,3,100,0.19268749038653654,60,54
437,quickshift,0.2,3,1000,0.1632309657987211,60,54
438,quickshift,0.2,8,100,0.2003195858238015,10,54
439,quickshift,0.2,8,1000,0.2242483832407942,10,54
440,quickshift,0.01,3,100,0.13315890078504355,70,55
441,quickshift,0.01,3,1000,0.1270883964826227,70,55
442,quickshift,0.01,8,100,0.07813096551482446,9,55
443,quickshift,0.01,8,1000,0.10137790010087278,9,55
444,quickshift,0.2,3,100,0.13333178625405218,73,55
445,quickshift,0.2,3,1000,0.13455244152832602,73,55
446,quickshift,0.2,8,100,0.11333251400276068,10,55
447,quickshift,0.2,8,1000,0.07372206874668374,10,55
448,quickshift,0.01,3,100,0.12835178623846977,74,56
449,quickshift,0.01,3,1000,0.1433072760934453,74,56
450,quickshift,0.01,8,100,0.10786793480720201,9,56
451,quickshift,0.01,8,1000,0.11329092841057165,9,56
452,quickshift,0.2,3,100,0.08996347037031338,74,56
453,quickshift,0.2,3,1000,0.13571836699071704,74,56
454,quickshift,0.2,8,100,0.10194806851464644,10,56
455,quickshift,0.2,8,1000,0.11382280360065755,10,56
456,quickshift,0.01,3,100,0.1781783254758288,62,57
457,quickshift,0.01,3,1000,0.19725830014195878,62,57
458,quickshift,0.01,8,100,0.7977616842650167,10,57
459,quickshift,0.01,8,1000,0.7982134173144917,10,57
460,quickshift,0.2,3,100,0.22004040639786826,65,57
461,quickshift,0.2,3,1000,0.19249859114167867,65,57
462,quickshift,0.2,8,100,0.6250702502363341,11,57
463,quickshift,0.2,8,1000,0.6647192734343615,11,57
464,quickshift,0.01,3,100,0.12363372906617842,62,58
465,quickshift,0.01,3,1000,0.12310747276248057,62,58
466,quickshift,0.01,8,100,0.5286722530739674,9,58
467,quickshift,0.01,8,1000,0.5753258769940433,9,58
468,quickshift,0.2,3,100,0.1326146732027701,66,58
469,quickshift,0.2,3,1000,0.12977520176505675,66,58
470,quickshift,0.2,8,100,0.3904403874268126,9,58
471,quickshift,0.2,8,1000,0.4174190345750441,9,58
472,quickshift,0.01,3,100,0.11437911924841071,65,59
473,quickshift,0.01,3,1000,0.11800149460282439,65,59
474,quickshift,0.01,8,100,0.1283677310004564,7,59
475,quickshift,0.01,8,1000,0.18709011043039203,7,59
476,quickshift,0.2,3,100,0.13939246483966616,77,59
477,quickshift,0.2,3,1000,0.14717178906729156,77,59
478,quickshift,0.2,8,100,0.1794666509580941,9,59
479,quickshift,0.2,8,1000,0.1135971115747474,9,59
480,quickshift,0.01,3,100,0.15828662257449633,66,60
481,quickshift,0.01,3,1000,0.13117322975774315,66,60
482,quickshift,0.01,8,100,0.38851261574968543,9,60
483,quickshift,0.01,8,1000,0.3832516497044967,9,60
